iteration,sample_fraction,sample_products,adjusted_rand_index,silhouette_score
1,0.8,1457,0.9849706608276807,0.5531856794563216
2,0.8,1457,0.9873808824090101,0.5496969187270295
3,0.8,1457,0.9443270103169172,0.559987647399054
4,0.8,1457,0.996177408135924,0.5552436313414207
5,0.8,1457,0.9658350063879956,0.5550638729015696
6,0.8,1457,0.9926184327789562,0.5634789044100711
7,0.8,1457,0.9628776443365031,0.5566861738217275
8,0.8,1457,0.9692282637594755,0.5548548527365901
9,0.8,1457,0.9680443927780851,0.555788464938946
10,0.8,1457,0.9975455982811614,0.5649125068527899
11,0.8,1457,0.9340038435328972,0.5657268186433183
12,0.8,1457,0.9913478359196242,0.5557926406216022
13,0.8,1457,0.9901927782089802,0.5510892643931147
14,0.8,1457,0.99441889127469,0.5637237624673616
15,0.8,1457,0.9773203013837386,0.5566670782945076
16,0.8,1457,0.9951309905780678,0.5549928854318641
17,0.8,1457,0.9828399418610327,0.5612515120950428
18,0.8,1457,0.9615753332940821,0.5570101416864084
19,0.8,1457,0.9629844153172116,0.5603479044272128
20,0.8,1457,0.9637633842724925,0.555978618752283
21,0.8,1457,0.9759474457697196,0.5654910383320446
22,0.8,1457,0.9741357601163562,0.5669561633549708
23,0.8,1457,0.9691354583135896,0.5597859136312658
24,0.8,1457,0.9761902620345995,0.5651103932864326
25,0.8,1457,0.9894202587944333,0.5509337681280059
26,0.8,1457,0.9882335277825368,0.5583611836171506
27,0.8,1457,0.941502925172792,0.55499866817303
28,0.8,1457,0.9798810606301271,0.5651121205528323
29,0.8,1457,0.9919758082792716,0.55634833186269
30,0.8,1457,0.9684787011148172,0.557009145022349
31,0.8,1457,0.9877881166354529,0.548116931165896
32,0.8,1457,0.9855043306119206,0.5613825304862073
33,0.8,1457,0.9808021700939252,0.5579723702671139
34,0.8,1457,0.9744504873032118,0.5509340556013077
35,0.8,1457,0.9860667125309698,0.5581352521737223
36,0.8,1457,0.947909676257729,0.5506542048164914
37,0.8,1457,0.9753343307883571,0.5574583031909877
38,0.8,1457,0.9902841227312194,0.5582173251147171
39,0.8,1457,0.9755423525094536,0.5554684227104828
40,0.8,1457,0.9778239573363576,0.5541478717248325
41,0.8,1457,0.9798558025424561,0.5580160798579418
42,0.8,1457,0.9723511797664097,0.552622569092922
43,0.8,1457,0.9950463181858732,0.5565719668351677
44,0.8,1457,0.969887688250451,0.5474285265352503
45,0.8,1457,0.9870478355691849,0.5565099017809406
46,0.8,1457,0.9699166745439882,0.5482898161667054
47,0.8,1457,0.9572670787299148,0.5530000439379403
48,0.8,1457,0.9565247609191827,0.5686302689352991
49,0.8,1457,0.9452285339115415,0.5582566639100244
50,0.8,1457,0.977720385262086,0.546246480871318
51,0.8,1457,0.9795876938719924,0.5528058038421636
52,0.8,1457,0.9579023601466904,0.5584912222871187
53,0.8,1457,0.9664761543604128,0.5554841647511849
54,0.8,1457,0.9702245598322803,0.5652285559921404
55,0.8,1457,0.9892781974293547,0.556989032619043
56,0.8,1457,0.9795088177155407,0.5603832545549657
57,0.8,1457,0.9951056704992042,0.5594081007896673
58,0.8,1457,0.9802119965703087,0.5549071558284074
59,0.8,1457,0.9812258634975803,0.564551953617721
60,0.8,1457,0.9738030061528012,0.5638906389934502
61,0.8,1457,0.9286503995689924,0.5665159405290899
62,0.8,1457,0.9855192103022519,0.5643070806658262
63,0.8,1457,0.9975558479087617,0.5491608398654141
64,0.8,1457,0.945341042484034,0.560875880831462
65,0.8,1457,0.9482785188003702,0.5604228436188069
66,0.8,1457,0.9549385251982169,0.5597408350682058
67,0.8,1457,0.9948084836561203,0.566175001412114
68,0.8,1457,0.9710777289367365,0.5617231792938194
69,0.8,1457,0.9828914276532309,0.5599682316767985
70,0.8,1457,0.942429683846675,0.5559930444654111
71,0.8,1457,0.9583158337431589,0.557426575403144
72,0.8,1457,0.9905808687997198,0.5646691891691463
73,0.8,1457,0.9909499473153813,0.5581228554493196
74,0.8,1457,0.9847763826962063,0.565940149027394
75,0.8,1457,0.9832982606022537,0.5629397666909853
76,0.8,1457,0.9786999948863925,0.5572974497535147
77,0.8,1457,0.9693074117114335,0.5606835067775232
78,0.8,1457,0.9765717628631033,0.5549621243679698
79,0.8,1457,0.9824607569743344,0.5565401726878422
80,0.8,1457,0.9839438477845898,0.563392277666381
81,0.8,1457,0.9504372854859123,0.5482723296151377
82,0.8,1457,0.9724925667779776,0.5597145941679951
83,0.8,1457,0.9483271240989356,0.5572224606046569
84,0.8,1457,0.9493208983778793,0.5569210431131846
85,0.8,1457,0.9774710934756782,0.5623465244521215
86,0.8,1457,0.983171349833714,0.5576950782578223
87,0.8,1457,0.9738127717527559,0.5563930900411208
88,0.8,1457,0.946357695281498,0.5547258661895326
89,0.8,1457,0.9580441462340366,0.5627311633422792
90,0.8,1457,0.9631304264006899,0.5558613313033717
91,0.8,1457,0.9868249438757934,0.5546593096762554
92,0.8,1457,0.9569552236602754,0.5675101817777939
93,0.8,1457,0.9596596191864913,0.5552057405311036
94,0.8,1457,0.9663477536368806,0.5536998839988403
95,0.8,1457,0.9954782623835184,0.5569821216193268
96,0.8,1457,0.9926120009351342,0.5528573113581552
97,0.8,1457,0.9887865794143638,0.5588684975631012
98,0.8,1457,0.9635324075295258,0.5597410346742062
99,0.8,1457,0.9459735198775723,0.5597339008014245
100,0.8,1457,0.9699338991702097,0.5659099383429218
