positive_deviation_quantile,max_loss_rate_threshold,max_cv_threshold,true_hidden_products,true_hidden_product_share,true_hidden_profit,true_hidden_profit_share,baseline_product_retention,profit_share_vs_baseline,materiality_reading
0.75,0.25,1.5,76,0.04012671594508976,86094.05060000002,0.30061084465530247,0.95,0.966289725378049,materially_stable
0.75,0.25,2.0,78,0.04118268215417107,88474.48400000001,0.30892250022305306,0.975,0.9930068831878679,materially_stable
0.75,0.25,2.5,78,0.04118268215417107,88474.48400000001,0.30892250022305306,0.975,0.9930068831878679,materially_stable
0.75,0.3,1.5,78,0.04118268215417107,86717.1202,0.3027863896253638,0.975,0.973282842190181,materially_stable
0.75,0.3,2.0,80,0.042238648363252376,89097.55360000001,0.31109804519311446,1.0,1.0,materially_stable
0.75,0.3,2.5,80,0.042238648363252376,89097.55360000001,0.31109804519311446,1.0,1.0,materially_stable
0.75,0.35,1.5,83,0.04382259767687434,87292.5743,0.3047956776290735,0.975,0.9797415391661213,materially_stable
0.75,0.35,2.0,91,0.04804646251319958,91437.57930000001,0.31926861095567033,1.0,1.0262636358177177,materially_stable
0.75,0.35,2.5,93,0.049102428722280884,91524.89130000002,0.3195734744611696,1.0,1.0272435953841947,materially_stable
0.8,0.25,1.5,58,0.030623020063357972,77058.42240000001,0.2690615354258762,0.725,0.8648769723347376,materially_stable
0.8,0.25,2.0,60,0.03167898627243928,79438.8558,0.2773731909936268,0.75,0.8915941301445565,materially_stable
0.8,0.25,2.5,60,0.03167898627243928,79438.8558,0.2773731909936268,0.75,0.8915941301445565,materially_stable
0.8,0.3,1.5,59,0.031151003167898626,77447.16840000001,0.2704189028932209,0.7375,0.8692401224358645,materially_stable
0.8,0.3,2.0,61,0.032206969376979935,79827.6018,0.2787305584609715,0.7625,0.8959572802456833,materially_stable
0.8,0.3,2.5,61,0.032206969376979935,79827.6018,0.2787305584609715,0.7625,0.8959572802456833,materially_stable
0.8,0.35,1.5,63,0.03326293558606125,77996.85930000001,0.2723382346542048,0.7375,0.8754096622019935,materially_stable
0.8,0.35,2.0,70,0.03695881731784583,82099.32830000001,0.2866626468832444,0.7625,0.9214543495614003,materially_stable
0.8,0.35,2.5,72,0.03801478352692714,82186.6403,0.2869675103887436,0.7625,0.9224343091278769,materially_stable
0.85,0.25,1.5,47,0.02481520591341077,65537.00390000001,0.2288327005322346,0.5875,0.7355645722241245,moderately_sensitive
0.85,0.25,2.0,48,0.025343189017951427,66864.98730000001,0.23346956229887353,0.6,0.7504693967265113,materially_stable
0.85,0.25,2.5,48,0.025343189017951427,66864.98730000001,0.23346956229887353,0.6,0.7504693967265113,materially_stable
0.85,0.3,1.5,48,0.025343189017951427,65925.74990000001,0.2301900679995793,0.6,0.7399277223252514,moderately_sensitive
0.85,0.3,2.0,49,0.02587117212249208,67253.7333,0.23482692976621825,0.6125,0.7548325468276381,materially_stable
0.85,0.3,2.5,49,0.02587117212249208,67253.7333,0.23482692976621825,0.6125,0.7548325468276381,materially_stable
0.85,0.35,1.5,50,0.026399155227032733,66442.52479999998,0.23199446839778348,0.6,0.7457278243383775,moderately_sensitive
0.85,0.35,2.0,53,0.0279831045406547,67829.3502,0.2368367862115934,0.6125,0.7612930710142415,materially_stable
0.85,0.35,2.5,55,0.02903907074973601,67916.66219999999,0.2371416497170926,0.6125,0.7622730305807182,materially_stable
0.9,0.25,1.5,37,0.019535374868004225,55431.008,0.19354603504942797,0.4625,0.6221383838310011,moderately_sensitive
0.9,0.25,2.0,38,0.02006335797254488,56758.9914,0.19818289681606693,0.475,0.6370432083333879,moderately_sensitive
0.9,0.25,2.5,38,0.02006335797254488,56758.9914,0.19818289681606693,0.475,0.6370432083333879,moderately_sensitive
0.9,0.3,1.5,37,0.019535374868004225,55431.008,0.19354603504942797,0.4625,0.6221383838310011,moderately_sensitive
0.9,0.3,2.0,38,0.02006335797254488,56758.9914,0.19818289681606693,0.475,0.6370432083333879,moderately_sensitive
0.9,0.3,2.5,38,0.02006335797254488,56758.9914,0.19818289681606693,0.475,0.6370432083333879,moderately_sensitive
0.9,0.35,1.5,37,0.019535374868004225,55431.008,0.19354603504942797,0.4625,0.6221383838310011,moderately_sensitive
0.9,0.35,2.0,38,0.02006335797254488,56758.9914,0.19818289681606693,0.475,0.6370432083333879,moderately_sensitive
0.9,0.35,2.5,40,0.021119324181626188,56846.303400000004,0.19848776032156618,0.475,0.6380231678998648,moderately_sensitive
