product_row_id,product_id,product_name,domain,k_cluster,analytical_role,body_role,primary_tail_type,assignment_basis,fallback_assignment_flag,flag_loss,flag_volatility,flag_impact,n_tail_flags,total_sales,profit_margin,n_orders,cv_not_estimable,cv_order_profit_raw,cv_order_profit_model,primary_action,compound_overlap_flag,assignment_instability,instability_margin,instability_source,deterioration_level,concentration_level,primary_signal,n_active_signals,escalation_status,final_intervention,total_profit,mean_order_profit,cv_order_profit,pct_orders_loss,profit_scale
0,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,61599.824,0.40909090909090906,5,False,0.5499442985887083,0.5499442985887083,Optimize,False,none,0.9731982210425365,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,25199.928,5039.9856,0.5499442985887083,0.0,1.0
1,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,27453.384,0.28240740740740744,10,False,2.0137278562785217,2.0137278562785217,Optimize,False,none,0.28085937785219084,excess_over_impact_p95,moderate,extreme,Extreme Concentration,2,Reroute Action,Reroute to Correct,7753.039,775.3039,2.0137278562785217,0.2,0.3076611568096544
2,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,18839.686,0.37070063694267513,8,False,0.9420202092562737,0.9420202092562737,Optimize,False,none,0.25033725096357434,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,6983.8836,872.98545,0.9420202092562737,0.0,0.2771390299210379
3,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,11619.834,0.3933734939759036,4,False,0.7159900715763089,0.7159900715763089,Optimize,False,none,0.15458503690962944,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,4570.9347,1142.733675,0.7159900715763089,0.0,0.18138681586709296
4,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,18374.895,0.22285714285714284,3,False,1.4795924821274122,1.4795924821274122,Optimize,False,none,0.13569775675549567,excess_over_impact_p95,moderate,extreme,Extreme Concentration,2,Reroute Action,Reroute to Correct,4094.9766,1364.9922,1.4795924821274122,0.3333333333333333,0.1624995357129592
5,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,7699.89,0.49,2,False,0.3856428210156909,0.3856428210156909,Optimize,False,none,0.1229187321487587,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3772.9461,1886.47305,0.3856428210156909,0.0,0.14972051110622223
6,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,14299.89,0.26,2,False,0.3856420553880657,0.3856420553880657,Optimize,False,none,0.12073719020149598,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3717.9714000000004,1858.9857000000002,0.3856420553880657,0.0,0.1475389691589595
7,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,9367.289999999999,0.3945945945945946,7,False,0.3444449827627768,0.3444449827627768,Optimize,False,none,0.11987649726618282,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3696.2819999999997,528.0402857142857,0.3444449827627768,0.0,0.14667827622364635
8,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,15875.916000000001,0.2107142857142857,3,False,3.4138792943345844,3.4138792943345844,Optimize,False,none,0.10594789794637524,excess_over_impact_p95,severe,extreme,Severe Deterioration,2,Reroute Action,Reroute to Correct,3345.2823,1115.0941,3.4138792943345844,0.3333333333333333,0.13274967690383876
9,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,6965.700000000001,0.48,2,False,0.4713330979314393,0.4713330979314393,Optimize,False,none,0.10587860012933387,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3343.536,1671.768,0.4713330979314393,0.0,0.1326803790867974
10,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,11304.44,0.28723404255319146,8,False,0.5731442900030385,0.5731442900030385,Optimize,False,none,0.10204858918644547,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3247.02,405.8775,0.5731442900030385,0.0,0.128850368143909
11,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,8899.822,0.35112359550561795,7,False,0.5918082938419217,0.5918082938419217,Optimize,False,none,0.09720403169405897,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3124.9375,446.41964285714283,0.5918082938419217,0.0,0.1240058106515225
12,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,10822.36,0.2850609756097561,10,False,0.8124992383271485,0.8124992383271485,Optimize,False,none,0.09562049542363787,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,3085.0325,308.50325,0.8124992383271485,0.0,0.1224222743811014
13,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,8959.872,0.3125,5,False,0.7638431563548297,0.7638431563548297,Optimize,False,none,0.08430806230874963,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,2799.96,559.992,0.7638431563548297,0.0,0.11110984126621315
14,OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Extreme Tail,Unclustered,Extreme Impact Tail,,Extreme Impact Tail,profit_scale_above_body_p95,False,False,False,True,1,8070.191999999999,0.3120192307692308,6,False,1.4889215427966003,1.4889215427966003,Optimize,False,none,0.07312132796569912,excess_over_impact_p95,none,extreme,Extreme Concentration,1,Reroute Action,Reroute to Correct,2518.0551,419.67585,1.4889215427966003,0.16666666666666666,0.09992310692316264
