product_row_id,product_id,product_name,analytical_role,primary_action,escalation_status,final_intervention,performance_deviation,role_profit_z,opportunity_reliability_pass,role_relative_loss_pass,role_relative_cv_pass,opportunity_quality,opportunity_action,opportunity_filter_reason,performance_context,priority_scope_flag,priority_zone,priority_action,priority_sort,total_profit,mean_order_profit,cv_order_profit,pct_orders_loss,profit_scale
0,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,4.122778982845112,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,25199.928,5039.9856,0.5499442985887083,0.0,1.0
5,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,0.867054418531387,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,3772.9461,1886.47305,0.3856428210156909,0.0,0.14972051110622223
6,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,Positive Deviation,0.8386761453569586,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,3717.9714000000004,1858.9857000000002,0.3856420553880657,0.0,0.1475389691589595
9,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,Positive Deviation,0.645390323562998,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,3343.536,1671.768,0.4713330979314393,0.0,0.1326803790867974
20,TEC-CO-10004115,Sharp AL-1530CS Digital Copier,High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,3.2927564423966325,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,2064.9587,516.239675,0.684530390880185,0.0,0.08194303967852608
22,TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,0.9801210446095734,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1995.99,1995.99,0.0,0.0,0.07920617868432005
23,TEC-CO-10002313,Canon PC1080F Personal Copier,High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,3.0687891028708107,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1973.9670999999998,493.49177499999996,0.400503305140623,0.0,0.07833225158421087
26,TEC-PH-10001459,Samsung Galaxy Mega 6.3,High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,1.2010834154401824,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1822.7566000000002,303.7927666666667,0.8255571405453624,0.0,0.07233181777344762
28,TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Extreme Impact Tail,Optimize,Reroute Action,Reroute to Correct,Positive Deviation,0.6417118391939886,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1668.205,1668.205,0.0,0.0,0.0661988002505404
29,OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,High Positive Deviation,3.6377031549784706,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1653.8256000000001,551.2752,0.28854253973178534,0.0,0.06562818750910718
30,TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,Positive Deviation,0.5307658864423151,True,True,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1649.97,235.71,0.3737640359252405,0.0,0.06547518707196306
34,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,High-Impact Profit Cluster,Optimize,Reroute Action,Reroute to Correct,Positive Deviation,0.8232430372191298,True,False,True,True Hidden Opportunity Candidate,Reframe / Reclassify,Positive deviation + reliability pass,True Hidden Opportunity,True,Misaligned Upside,Recover / Reclassify,1,1592.4978,265.41630000000004,0.6099999811799879,0.16666666666666666,0.06319453769867914
